Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Altitude,Country,Last Updated,LSOA Code,LSOA Name
B1 1FW,52.473652,-1.901505,406787,286196,SP067861,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033616,Birmingham 135D
B1 1FZ,52.473248,-1.901697,406774,286151,SP067861,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033616,Birmingham 135D
B1 1GA,52.473248,-1.902375,406728,286151,SP067861,Ladywood,"Birmingham, unparished area",134,England,07/03/2023,E01033616,Birmingham 135D
B1 1GB,52.473248,-1.902375,406728,286151,SP067861,Ladywood,"Birmingham, unparished area",134,England,07/03/2023,E01033616,Birmingham 135D
B1 1HH,52.477468,-1.906561,406443,286620,SP064866,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033625,Birmingham 138D
B1 1HL,52.475698,-1.903493,406652,286423,SP066864,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033615,Birmingham 135C
B1 1HN,52.475101,-1.903092,406679,286357,SP066863,Ladywood,"Birmingham, unparished area",140,England,07/03/2023,E01033616,Birmingham 135D
B1 1HP,52.474187,-1.902908,406692,286255,SP066862,Ladywood,"Birmingham, unparished area",138,England,07/03/2023,E01033616,Birmingham 135D
B1 1HQ,52.478727,-1.906912,406419,286760,SP064867,Ladywood,"Birmingham, unparished area",141,England,07/03/2023,E01033625,Birmingham 138D
B1 1HR,52.474187,-1.902908,406692,286255,SP066862,Ladywood,"Birmingham, unparished area",138,England,07/03/2023,E01033616,Birmingham 135D
B1 1JG,52.474826,-1.904349,406594,286326,SP065863,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033615,Birmingham 135C
B1 1JL,52.474113,-1.904876,406558,286247,SP065862,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033616,Birmingham 135D
B1 1JR,52.473691,-1.905259,406532,286200,SP065861,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033616,Birmingham 135D
B1 1JW,52.473058,-1.907562,406376,286129,SP063861,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033557,Birmingham 134B
B1 1JX,52.473369,-1.90685,406424,286164,SP064861,Ladywood,"Birmingham, unparished area",146,England,07/03/2023,E01033557,Birmingham 134B
B1 1JY,52.473445,-1.907753,406363,286172,SP063861,Ladywood,"Birmingham, unparished area",146,England,07/03/2023,E01033557,Birmingham 134B
B1 1LA,52.474662,-1.904963,406552,286308,SP065863,Ladywood,"Birmingham, unparished area",146,England,07/03/2023,E01033615,Birmingham 135C
B1 1LB,52.474442,-1.906985,406415,286283,SP064862,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033557,Birmingham 134B
B1 1LE,52.474077,-1.904287,406598,286243,SP065862,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033616,Birmingham 135D
B1 1LJ,52.474432,-1.905896,406489,286282,SP064862,Ladywood,"Birmingham, unparished area",146,England,07/03/2023,E01033616,Birmingham 135D
B1 1LN,52.475544,-1.901845,406764,286406,SP067864,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033616,Birmingham 135D
B1 1LP,52.474432,-1.905896,406489,286282,SP064862,Ladywood,"Birmingham, unparished area",146,England,07/03/2023,E01033616,Birmingham 135D
B1 1LR,52.473981,-1.903674,406640,286232,SP066862,Ladywood,"Birmingham, unparished area",140,England,07/03/2023,E01033616,Birmingham 135D
B1 1LS,52.476587,-1.901975,406755,286522,SP067865,Ladywood,"Birmingham, unparished area",135,England,07/03/2023,E01033620,Birmingham 138A
B1 1LT,52.475755,-1.900794,406835,286430,SP068864,Ladywood,"Birmingham, unparished area",132,England,07/03/2023,E01033615,Birmingham 135C
B1 1LW,52.476335,-1.901607,406780,286494,SP067864,Ladywood,"Birmingham, unparished area",135,England,07/03/2023,E01033620,Birmingham 138A
B1 1LX,52.476368,-1.902544,406716,286498,SP067864,Ladywood,"Birmingham, unparished area",137,England,07/03/2023,E01033615,Birmingham 135C
B1 1LY,52.476335,-1.901607,406780,286494,SP067864,Ladywood,"Birmingham, unparished area",135,England,07/03/2023,E01033620,Birmingham 138A
B1 1NB,52.473268,-1.904023,406616,286153,SP066861,Ladywood,"Birmingham, unparished area",140,England,07/03/2023,E01033616,Birmingham 135D
B1 1NG,52.473913,-1.90227,406735,286225,SP067862,Ladywood,"Birmingham, unparished area",138,England,07/03/2023,E01033616,Birmingham 135D
B1 1NH,52.474012,-1.901666,406776,286236,SP067862,Ladywood,"Birmingham, unparished area",137,England,07/03/2023,E01033616,Birmingham 135D
B1 1NN,52.474533,-1.907795,406360,286293,SP063862,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033557,Birmingham 134B
B1 1NQ,52.473967,-1.902138,406744,286231,SP067862,Ladywood,"Birmingham, unparished area",138,England,07/03/2023,E01033616,Birmingham 135D
B1 1NS,52.473554,-1.902668,406708,286185,SP067861,Ladywood,"Birmingham, unparished area",138,England,07/03/2023,E01033616,Birmingham 135D
B1 1NX,52.473069,-1.903361,406661,286131,SP066861,Ladywood,"Birmingham, unparished area",139,England,07/03/2023,E01033616,Birmingham 135D
B1 1PE,52.472605,-1.90375,406635,286079,SP066860,Ladywood,"Birmingham, unparished area",139,England,07/03/2023,E01033616,Birmingham 135D
B1 1PP,52.474865,-1.907014,406413,286330,SP064863,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033557,Birmingham 134B
B1 1PQ,52.474865,-1.907014,406413,286330,SP064863,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033557,Birmingham 134B
B1 1PR,52.474865,-1.907014,406413,286330,SP064863,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033557,Birmingham 134B
B1 1PT,52.474865,-1.907014,406413,286330,SP064863,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033557,Birmingham 134B
B1 1PU,52.477135,-1.901635,406778,286583,SP067865,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033625,Birmingham 138D
B1 1PW,52.475298,-1.909722,406229,286378,SP062863,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033557,Birmingham 134B
B1 1QD,52.474382,-1.904183,406605,286277,SP066862,Ladywood,"Birmingham, unparished area",141,England,07/03/2023,E01033615,Birmingham 135C
B1 1QF,52.495953,-1.894214,407279,288677,SP072886,Newtown,"Birmingham, unparished area",109,England,07/03/2023,E01008910,Birmingham 050A
B1 1QG,52.475938,-1.903988,406618,286450,SP066864,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033615,Birmingham 135C
B1 1QH,52.475779,-1.904082,406612,286432,SP066864,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033615,Birmingham 135C
B1 1QJ,52.475366,-1.904098,406611,286386,SP066863,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033615,Birmingham 135C
B1 1QL,52.475086,-1.903097,406679,286355,SP066863,Ladywood,"Birmingham, unparished area",141,England,07/03/2023,E01033616,Birmingham 135D
B1 1QN,52.47627,-1.903193,406672,286487,SP066864,Ladywood,"Birmingham, unparished area",138,England,07/03/2023,E01033615,Birmingham 135C
B1 1QP,52.473735,-1.90439,406591,286205,SP065862,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033616,Birmingham 135D
B1 1QU,52.4747,-1.903466,406654,286312,SP066863,Ladywood,"Birmingham, unparished area",141,England,07/03/2023,E01033615,Birmingham 135C
B1 1RB,52.475924,-1.905804,406495,286448,SP064864,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033625,Birmingham 138D
B1 1RD,52.476809,-1.903721,406636,286547,SP066865,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033625,Birmingham 138D
B1 1RE,52.476189,-1.904179,406605,286478,SP066864,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033625,Birmingham 138D
B1 1RF,52.475924,-1.905392,406523,286448,SP065864,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033625,Birmingham 138D
B1 1RG,52.475924,-1.905804,406495,286448,SP064864,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033625,Birmingham 138D
B1 1RH,52.475384,-1.904554,406580,286388,SP065863,Ladywood,"Birmingham, unparished area",148,England,07/03/2023,E01033615,Birmingham 135C
B1 1RL,52.475223,-1.906159,406471,286370,SP064863,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033557,Birmingham 134B
B1 1RN,52.474865,-1.907014,406413,286330,SP064863,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033557,Birmingham 134B
B1 1RQ,52.475223,-1.906159,406471,286370,SP064863,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033557,Birmingham 134B
B1 1RR,52.475384,-1.904554,406580,286388,SP065863,Ladywood,"Birmingham, unparished area",148,England,07/03/2023,E01033615,Birmingham 135C
B1 1RS,52.47513,-1.90533,406527,286360,SP065863,Ladywood,"Birmingham, unparished area",148,England,07/03/2023,E01033615,Birmingham 135C
B1 1RT,52.475924,-1.905392,406523,286448,SP065864,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033625,Birmingham 138D
B1 1RY,52.474433,-1.907,406414,286282,SP064862,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033557,Birmingham 134B
B1 1SA,52.474006,-1.906053,406478,286235,SP064862,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033557,Birmingham 134B
B1 1SB,52.474007,-1.907378,406388,286235,SP063862,Ladywood,"Birmingham, unparished area",140,England,07/03/2023,E01033557,Birmingham 134B
B1 1SE,52.475717,-1.905186,406537,286425,SP065864,Ladywood,"Birmingham, unparished area",149,England,07/03/2023,E01033625,Birmingham 138D
B1 1SF,52.473881,-1.906775,406429,286221,SP064862,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033557,Birmingham 134B
B1 1SG,52.474956,-1.909178,406266,286340,SP062863,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033557,Birmingham 134B
B1 1SJ,52.474082,-1.911147,406132,286243,SP061862,Ladywood,"Birmingham, unparished area",146,England,07/03/2023,E01033557,Birmingham 134B
B1 1SL,52.475329,-1.90767,406368,286382,SP063863,Ladywood,"Birmingham, unparished area",141,England,07/03/2023,E01033557,Birmingham 134B
B1 1SN,52.475491,-1.907523,406378,286400,SP063863,Ladywood,"Birmingham, unparished area",141,England,07/03/2023,E01033557,Birmingham 134B
B1 1SR,52.475671,-1.907714,406365,286420,SP063864,Ladywood,"Birmingham, unparished area",140,England,07/03/2023,E01033557,Birmingham 134B
B1 1SW,52.475455,-1.908053,406342,286396,SP063863,Ladywood,"Birmingham, unparished area",141,England,07/03/2023,E01033557,Birmingham 134B
B1 1SY,52.475869,-1.907949,406349,286442,SP063864,Ladywood,"Birmingham, unparished area",139,England,07/03/2023,E01033557,Birmingham 134B
B1 1SZ,52.475716,-1.908317,406324,286425,SP063864,Ladywood,"Birmingham, unparished area",141,England,07/03/2023,E01033557,Birmingham 134B
B1 1TB,52.476662,-1.906509,406447,286530,SP064865,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033625,Birmingham 138D
B1 1TF,52.4772,-1.904653,406573,286590,SP065865,Ladywood,"Birmingham, unparished area",138,England,07/03/2023,E01033625,Birmingham 138D
B1 1TH,52.476662,-1.906509,406447,286530,SP064865,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033625,Birmingham 138D
B1 1TJ,52.47519,-1.909104,406271,286366,SP062863,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033557,Birmingham 134B
B1 1TS,52.476662,-1.906509,406447,286530,SP064865,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033625,Birmingham 138D
B1 1TT,52.478442,-1.906211,406467,286728,SP064867,Ladywood,"Birmingham, unparished area",146,England,07/03/2023,E01033625,Birmingham 138D
B1 1TW,52.476662,-1.906509,406447,286530,SP064865,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033625,Birmingham 138D
B1 1TX,52.474952,-1.908319,406324,286340,SP063863,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033557,Birmingham 134B
B1 1UB,52.474788,-1.901449,406791,286322,SP067863,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033616,Birmingham 135D
B1 1UD,52.474788,-1.901449,406791,286322,SP067863,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033616,Birmingham 135D
B1 1UE,52.474788,-1.901449,406791,286322,SP067863,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033616,Birmingham 135D
B1 1UF,52.474788,-1.901449,406791,286322,SP067863,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033616,Birmingham 135D
B1 1UG,52.474158,-1.900832,406833,286252,SP068862,Ladywood,"Birmingham, unparished area",134,England,07/03/2023,E01033616,Birmingham 135D
B1 1UH,52.474158,-1.900832,406833,286252,SP068862,Ladywood,"Birmingham, unparished area",134,England,07/03/2023,E01033616,Birmingham 135D
B1 1UJ,52.474158,-1.900832,406833,286252,SP068862,Ladywood,"Birmingham, unparished area",134,England,07/03/2023,E01033616,Birmingham 135D
B1 1UP,52.4772,-1.904653,406573,286590,SP065865,Ladywood,"Birmingham, unparished area",138,England,07/03/2023,E01033625,Birmingham 138D
B1 1UQ,52.474158,-1.900832,406833,286252,SP068862,Ladywood,"Birmingham, unparished area",134,England,07/03/2023,E01033616,Birmingham 135D
B1 1XL,52.475924,-1.905392,406523,286448,SP065864,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033625,Birmingham 138D
B1 1ZQ,52.495968,-1.894209,407279,288679,SP072886,Newtown,"Birmingham, unparished area",109,England,07/03/2023,E01008910,Birmingham 050A
B1 2AA,52.479923,-1.91491,405876,286892,SP058868,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033627,Birmingham 137E
B1 2AB,52.495968,-1.894209,407279,288679,SP072886,Newtown,"Birmingham, unparished area",109,England,07/03/2023,E01008910,Birmingham 050A
B1 2AF,52.478781,-1.903604,406644,286766,SP066867,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033625,Birmingham 138D
B1 2AH,52.478781,-1.903604,406644,286766,SP066867,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033625,Birmingham 138D
B1 2AJ,52.478778,-1.903953,406620,286766,SP066867,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033625,Birmingham 138D
B1 2AN,52.480596,-1.912847,406016,286967,SP060869,Ladywood,"Birmingham, unparished area",140,England,07/03/2023,E01033627,Birmingham 137E
B1 2AP,52.478805,-1.903025,406683,286769,SP066867,Ladywood,"Birmingham, unparished area",142,England,07/03/2023,E01033625,Birmingham 138D
B1 2AU,52.481436,-1.911589,406101,287061,SP061870,Ladywood,"Birmingham, unparished area",132,England,07/03/2023,E01033622,Birmingham 138B
B1 2AW,52.481724,-1.911647,406097,287093,SP060870,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033622,Birmingham 138B
B1 2AX,52.477846,-1.907061,406409,286662,SP064866,Ladywood,"Birmingham, unparished area",137,England,07/03/2023,E01033625,Birmingham 138D
B1 2AY,52.479938,-1.914905,405876,286894,SP058868,Ladywood,"Birmingham, unparished area",137,England,07/03/2023,E01033627,Birmingham 137E
B1 2BJ,52.478734,-1.904409,406589,286761,SP065867,Ladywood,"Birmingham, unparished area",142,England,07/03/2023,E01033625,Birmingham 138D
B1 2DJ,52.476969,-1.912569,406035,286564,SP060865,Ladywood,"Birmingham, unparished area",153,England,07/03/2023,E01009146,Birmingham 136B
B1 2DR,52.478422,-1.908341,406322,286726,SP063867,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033625,Birmingham 138D
B1 2DS,52.477771,-1.910541,406173,286653,SP061866,Ladywood,"Birmingham, unparished area",148,England,07/03/2023,E01033557,Birmingham 134B
B1 2DY,52.478226,-1.910668,406164,286704,SP061867,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033627,Birmingham 137E
B1 2EA,52.478868,-1.910789,406156,286775,SP061867,Ladywood,"Birmingham, unparished area",148,England,07/03/2023,E01033627,Birmingham 137E
B1 2EJ,52.481224,-1.911889,406081,287037,SP060870,Ladywood,"Birmingham, unparished area",137,England,07/03/2023,E01033622,Birmingham 138B
B1 2EL,52.481557,-1.912256,406056,287074,SP060870,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033622,Birmingham 138B
B1 2EP,52.479469,-1.909213,406263,286842,SP062868,Ladywood,"Birmingham, unparished area",149,England,07/03/2023,E01033627,Birmingham 137E
B1 2HF,52.477223,-1.911043,406139,286592,SP061865,Ladywood,"Birmingham, unparished area",151,England,07/03/2023,E01033557,Birmingham 134B
B1 2HG,52.476469,-1.912178,406062,286508,SP060865,Ladywood,"Birmingham, unparished area",152,England,07/03/2023,E01009146,Birmingham 136B
B1 2HJ,52.476969,-1.91254,406037,286564,SP060865,Ladywood,"Birmingham, unparished area",154,England,07/03/2023,E01009146,Birmingham 136B
B1 2HL,52.478182,-1.912008,406073,286699,SP060866,Ladywood,"Birmingham, unparished area",153,England,07/03/2023,E01033627,Birmingham 137E
B1 2HP,52.477727,-1.911307,406121,286648,SP061866,Ladywood,"Birmingham, unparished area",151,England,07/03/2023,E01033627,Birmingham 137E
B1 2HQ,52.476756,-1.911515,406107,286540,SP061865,Ladywood,"Birmingham, unparished area",152,England,07/03/2023,E01009146,Birmingham 136B
B1 2HR,52.476907,-1.91335,405982,286557,SP059865,Ladywood,"Birmingham, unparished area",153,England,07/03/2023,E01009146,Birmingham 136B
B1 2HS,52.477482,-1.913172,405994,286621,SP059866,Ladywood,"Birmingham, unparished area",156,England,07/03/2023,E01009146,Birmingham 136B
B1 2HT,52.476308,-1.91343,405977,286490,SP059864,Ladywood,"Birmingham, unparished area",152,England,07/03/2023,E01009146,Birmingham 136B
B1 2HW,52.476929,-1.915004,405870,286559,SP058865,Ladywood,"Birmingham, unparished area",151,England,07/03/2023,E01033627,Birmingham 137E
B1 2HX,52.495968,-1.894209,407279,288679,SP072886,Newtown,"Birmingham, unparished area",152,England,07/03/2023,E01008910,Birmingham 050A
B1 2HZ,52.478367,-1.914206,405924,286719,SP059867,Ladywood,"Birmingham, unparished area",150,England,07/03/2023,E01033627,Birmingham 137E
B1 2JB,52.47804,-1.913583,405966,286683,SP059866,Ladywood,"Birmingham, unparished area",156,England,07/03/2023,E01033627,Birmingham 137E
B1 2JF,52.478071,-1.914531,405902,286686,SP059866,Ladywood,"Birmingham, unparished area",151,England,07/03/2023,E01033627,Birmingham 137E
B1 2JP,52.476692,-1.910337,406187,286533,SP061865,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033557,Birmingham 134B
B1 2JQ,52.478367,-1.914206,405924,286719,SP059867,Ladywood,"Birmingham, unparished area",150,England,07/03/2023,E01033627,Birmingham 137E
B1 2JR,52.475997,-1.907144,406404,286456,SP064864,Ladywood,"Birmingham, unparished area",137,England,07/03/2023,E01033557,Birmingham 134B
B1 2JS,52.477113,-1.908084,406340,286580,SP063865,Ladywood,"Birmingham, unparished area",142,England,07/03/2023,E01033557,Birmingham 134B
B1 2JT,52.476562,-1.909611,406236,286519,SP062865,Ladywood,"Birmingham, unparished area",149,England,07/03/2023,E01033557,Birmingham 134B
B1 2JU,52.476944,-1.910028,406208,286561,SP062865,Ladywood,"Birmingham, unparished area",146,England,07/03/2023,E01033557,Birmingham 134B
B1 2JX,52.476196,-1.908792,406292,286478,SP062864,Ladywood,"Birmingham, unparished area",142,England,07/03/2023,E01033557,Birmingham 134B
B1 2JZ,52.477995,-1.909289,406258,286678,SP062866,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033557,Birmingham 134B
B1 2LA,52.495953,-1.894214,407279,288677,SP072886,Newtown,"Birmingham, unparished area",109,England,07/03/2023,E01008910,Birmingham 050A
B1 2LB,52.475909,-1.90922,406263,286446,SP062864,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033557,Birmingham 134B
B1 2LF,52.475829,-1.909647,406234,286437,SP062864,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033557,Birmingham 134B
B1 2LG,52.478367,-1.914206,405924,286719,SP059867,Ladywood,"Birmingham, unparished area",150,England,07/03/2023,E01033627,Birmingham 137E
B1 2LH,52.475299,-1.910237,406194,286378,SP061863,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033557,Birmingham 134B
B1 2LJ,52.476064,-1.911296,406122,286463,SP061864,Ladywood,"Birmingham, unparished area",150,England,07/03/2023,E01033557,Birmingham 134B
B1 2LL,52.475604,-1.910546,406173,286412,SP061864,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01009146,Birmingham 136B
B1 2LP,52.476776,-1.914033,405936,286542,SP059865,Ladywood,"Birmingham, unparished area",152,England,07/03/2023,E01009146,Birmingham 136B
B1 2LS,52.476064,-1.911296,406122,286463,SP061864,Ladywood,"Birmingham, unparished area",150,England,07/03/2023,E01033557,Birmingham 134B
B1 2NB,52.480862,-1.908636,406302,286997,SP063869,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033622,Birmingham 138B
B1 2ND,52.480088,-1.907533,406377,286911,SP063869,Ladywood,"Birmingham, unparished area",148,England,07/03/2023,E01033627,Birmingham 137E
B1 2NH,52.480836,-1.909225,406262,286994,SP062869,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033622,Birmingham 138B
B1 2NJ,52.480594,-1.910212,406195,286967,SP061869,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033622,Birmingham 138B
B1 2NN,52.480235,-1.911081,406136,286927,SP061869,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033627,Birmingham 137E
B1 2NP,52.479495,-1.911666,406096,286845,SP060868,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033627,Birmingham 137E
B1 2NR,52.479621,-1.90855,406308,286859,SP063868,Ladywood,"Birmingham, unparished area",149,England,07/03/2023,E01033627,Birmingham 137E
B1 2NT,52.480008,-1.912519,406038,286902,SP060869,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033627,Birmingham 137E
B1 2NU,52.480358,-1.912533,406037,286941,SP060869,Ladywood,"Birmingham, unparished area",143,England,07/03/2023,E01033627,Birmingham 137E
B1 2NW,52.480037,-1.911847,406084,286905,SP060869,Ladywood,"Birmingham, unparished area",145,England,07/03/2023,E01033627,Birmingham 137E
B1 2NX,52.479382,-1.913409,405978,286832,SP059868,Ladywood,"Birmingham, unparished area",146,England,07/03/2023,E01033627,Birmingham 137E
B1 2PE,52.482186,-1.915799,405815,287144,SP058871,Ladywood,"Birmingham, unparished area",131,England,07/03/2023,E01033565,Birmingham 137B
B1 2PJ,52.481081,-1.916669,405756,287021,SP057870,Ladywood,"Birmingham, unparished area",132,England,07/03/2023,E01033627,Birmingham 137E
B1 2PL,52.482181,-1.91735,405710,287143,SP057871,Ladywood,"Birmingham, unparished area",134,England,07/03/2023,E01033627,Birmingham 137E
B1 2PN,52.482631,-1.917467,405702,287193,SP057871,Ladywood,"Birmingham, unparished area",135,England,07/03/2023,E01033627,Birmingham 137E
B1 2PP,52.482101,-1.918631,405623,287134,SP056871,Ladywood,"Birmingham, unparished area",135,England,07/03/2023,E01033627,Birmingham 137E
B1 2PR,52.481526,-1.918603,405625,287070,SP056870,Ladywood,"Birmingham, unparished area",135,England,07/03/2023,E01033627,Birmingham 137E
B1 2PS,52.481864,-1.91923,405582,287108,SP055871,Ladywood,"Birmingham, unparished area",135,England,07/03/2023,E01033627,Birmingham 137E
B1 2PT,52.48141,-1.920311,405509,287057,SP055870,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033627,Birmingham 137E
B1 2PU,52.481734,-1.920517,405495,287093,SP054870,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033619,Birmingham 137D
B1 2PW,52.482631,-1.917467,405702,287193,SP057871,Ladywood,"Birmingham, unparished area",135,England,07/03/2023,E01033627,Birmingham 137E
B1 2PX,52.482381,-1.921222,405447,287165,SP054871,Ladywood,"Birmingham, unparished area",136,England,07/03/2023,E01033619,Birmingham 137D
B1 2PY,52.482283,-1.92215,405384,287154,SP053871,Ladywood,"Birmingham, unparished area",138,England,07/03/2023,E01009141,Birmingham 137A
